=== 2. PROCESSES & SERVICES ===
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    Aug07   0:53 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [netns]
root           8  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/0:0H-events_highpri]
root          11  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [mm_percpu_wq]
root          12  0.0  0.0      0     0 ?        I    Aug07   0:00  \_ [rcu_tasks_kthread]
root          13  0.0  0.0      0     0 ?        I    Aug07   0:00  \_ [rcu_tasks_rude_kthread]
root          14  0.0  0.0      0     0 ?        I    Aug07   0:00  \_ [rcu_tasks_trace_kthread]
root          15  0.0  0.0      0     0 ?        S    Aug07   3:34  \_ [ksoftirqd/0]
root          16  0.1  0.0      0     0 ?        I    Aug07  76:57  \_ [rcu_preempt]
root          17  0.0  0.0      0     0 ?        S    Aug07   0:26  \_ [migration/0]
root          19  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/1]
root          21  0.0  0.0      0     0 ?        S    Aug07   0:18  \_ [migration/1]
root          22  0.0  0.0      0     0 ?        S    Aug07   3:21  \_ [ksoftirqd/1]
root          24  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/1:0H-events_highpri]
root          25  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/2]
root          26  0.0  0.0      0     0 ?        S    Aug07   0:17  \_ [migration/2]
root          27  0.0  0.0      0     0 ?        S    Aug07   3:22  \_ [ksoftirqd/2]
root          29  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/2:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/3]
root          31  0.0  0.0      0     0 ?        S    Aug07   0:17  \_ [migration/3]
root          32  0.0  0.0      0     0 ?        S    Aug07   3:19  \_ [ksoftirqd/3]
root          34  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/3:0H-events_highpri]
root          35  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/4]
root          36  0.0  0.0      0     0 ?        S    Aug07   0:16  \_ [migration/4]
root          37  0.0  0.0      0     0 ?        S    Aug07   3:29  \_ [ksoftirqd/4]
root          39  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/4:0H-events_highpri]
root          40  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/5]
root          41  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/5]
root          42  0.0  0.0      0     0 ?        S    Aug07   4:35  \_ [ksoftirqd/5]
root          44  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/5:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/6]
root          46  0.0  0.0      0     0 ?        S    Aug07   0:17  \_ [migration/6]
root          47  0.0  0.0      0     0 ?        S    Aug07   3:35  \_ [ksoftirqd/6]
root          49  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/6:0H-events_highpri]
root          50  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/7]
root          51  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/7]
root          52  0.0  0.0      0     0 ?        S    Aug07   3:26  \_ [ksoftirqd/7]
root          54  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/7:0H-events_highpri]
root          55  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/8]
root          56  0.0  0.0      0     0 ?        S    Aug07   0:14  \_ [migration/8]
root          57  0.0  0.0      0     0 ?        S    Aug07   3:07  \_ [ksoftirqd/8]
root          59  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/8:0H-events_highpri]
root          60  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/9]
root          61  0.0  0.0      0     0 ?        S    Aug07   0:15  \_ [migration/9]
root          62  0.0  0.0      0     0 ?        S    Aug07   3:21  \_ [ksoftirqd/9]
root          64  0.0  0.0      0     0 ?        I<   Aug07   0:00  \_ [kworker/9:0H-events_highpri]
root          65  0.0  0.0      0     0 ?        S    Aug07   0:00  \_ [cpuhp/10]
root          66  0.0  0.0      0     0 ?        S    Aug07   0:12  \_ [migration/10]
